name,investing_url
Vertex,https://www.investing.com/equities/vertex-pharm
Gilead,https://www.investing.com/equities/gilead-sciences-inc
Amgen,https://www.investing.com/equities/amgen-inc
Biogen,https://www.investing.com/equities/biogen-idec-inc
Illumina,https://www.investing.com/equities/illumina,-inc.
Viatris,https://www.investing.com/equities/mylan-inc
Ionis Pharma,https://www.investing.com/equities/isis-pharma
Oruka Therapeutics,https://www.investing.com/equities/arca-biopharma
ACADIA,https://www.investing.com/equities/acadia-pharmaceuticals
Alkermes Plc,https://www.investing.com/equities/alkermes-plc
Alnylam,https://www.investing.com/equities/alnylam-pharmaceuticals
Arrowhead Pharma,https://www.investing.com/equities/arrowhead-research-corp
Vericel Corp Ord,https://www.investing.com/equities/aastrom-bioscienc
Sarepta,https://www.investing.com/equities/sarepta
BioCryst,https://www.investing.com/equities/biocryst-pharmaceuticals
Biomarin Pharma,https://www.investing.com/equities/biomarin-pharmaceuticals
Codexis,https://www.investing.com/equities/codexis
Cytokinetics Inc,https://www.investing.com/equities/cytokinetics
Dynavax,https://www.investing.com/equities/dynavax-tech
Avadel Pharma,https://www.investing.com/equities/flamel-tech
Amicus,https://www.investing.com/equities/amicus-therapeutics
Geron,https://www.investing.com/equities/geron-corp
Grifols ADR,https://www.investing.com/equities/grifols-sa
Halozyme,https://www.investing.com/equities/halozyme-therapeutics
Incyte,https://www.investing.com/equities/incyte-corp
Insmed,https://www.investing.com/equities/insmed
Amneal Pharma A,https://www.investing.com/equities/impax-laboratorie
Ironwood,https://www.investing.com/equities/ironwood-pharmaceuticals
Jazz Pharma,https://www.investing.com/equities/jazz-pharmaceuticals
Ligand,https://www.investing.com/equities/ligand-pharmaceuticals
Lexicon,https://www.investing.com/equities/lexicon-pharmaceuticals
MannKind,https://www.investing.com/equities/mannkind-corp
Neurocrine,https://www.investing.com/equities/neurocrine-biosci
Novavax,https://www.investing.com/equities/novavax
Omeros,https://www.investing.com/equities/omeros-corp
Pacific Biosciences,https://www.investing.com/equities/pacific-bioscienc
Pacira,https://www.investing.com/equities/pacira-pharmaceuticals
Eyepoint Pharma,https://www.investing.com/equities/psivida-corp
Rigel,https://www.investing.com/equities/rigel-pharmaceuticals
SIGA Tech,https://www.investing.com/equities/siga-technologies
Madrigal Pharma,https://www.investing.com/equities/synta-pharmaceuticals
Innoviva,https://www.investing.com/equities/theravance
Vanda,https://www.investing.com/equities/vanda-pharmaceuticals
Sanofi ADR,https://www.investing.com/equities/sanofi
Altimmune,https://www.investing.com/equities/pharmathene-inc
Savara,https://www.investing.com/equities/mast-therapeutics
CorMedix,https://www.investing.com/equities/cormedix-inc
Supernus,https://www.investing.com/equities/supernus-pharmaceuticals-inc
Arbutus Biopharma,https://www.investing.com/equities/tekmira-pharmaceuticals-corp
United Therapeutics,https://www.investing.com/equities/united-therapeutics-corp
Regeneron Pharma,https://www.investing.com/equities/regeneron-phar.
ANI Pharma,https://www.investing.com/equities/biosante-pharmaceuticals-inc
Amarin,https://www.investing.com/equities/amarin
Exelixis,https://www.investing.com/equities/exelixis-inc
AstraZeneca ADR,https://www.investing.com/equities/astrazeneca-plc-ads
Prothena,https://www.investing.com/equities/prothena-corp
Harrow Health,https://www.investing.com/equities/imprimis-pharmaceuticals-inc
Arcturus Therapeutics Holdings Inc,https://www.investing.com/equities/alcobra-ltd
Enanta,https://www.investing.com/equities/enanta-pharmaceuticals-inc
Precigen,https://www.investing.com/equities/intrexon-corpn
Agios Pharm,https://www.investing.com/equities/agios-pharm
Esperion,https://www.investing.com/equities/esperion-th
Fate Therapeutics,https://www.investing.com/equities/fate-therap
PTC Therapeutics,https://www.investing.com/equities/ptc-therape
MacroGenics Inc,https://www.investing.com/equities/macrogenics
Veracyte Inc,https://www.investing.com/equities/veracyte-inc
Xencor Inc,https://www.investing.com/equities/xencor-inc
Anavex Life Sciences,https://www.investing.com/equities/anavex-life-sciences
Iovance Biotherapeutics,https://www.investing.com/equities/lion-biotechnologies
Neurogene,https://www.investing.com/equities/aquinox-pha
Uniqure NV,https://www.investing.com/equities/uniqure-nv
Travere Therapeutics,https://www.investing.com/equities/retrophin-i
Ultragenyx,https://www.investing.com/equities/ultragenyx
Phibro,https://www.investing.com/equities/phibro-anim
Amphastar P,https://www.investing.com/equities/amphastar-p
Ardelyx Inc,https://www.investing.com/equities/ardelyx-inc
Theravance Biopharma,https://www.investing.com/equities/theravance-biopharma-inc
Larimar Therapeutics Inc,https://www.investing.com/equities/zafgen-inc
Ocular Therapeutix Inc,https://www.investing.com/equities/ocular-therapeutix-inc
Aurinia Pharma,https://www.investing.com/equities/aurinia-pharmace
Genmab AS,https://www.investing.com/equities/genmab-as
Mesoblast,https://www.investing.com/equities/mesoblast-ltd
ADMA Biologics Inc,https://www.investing.com/equities/adma-biologics-inc
Xenon Pharmaceuticals,https://www.investing.com/equities/xenon-pharmaceuticals
Ascendis Pharma AS,https://www.investing.com/equities/ascendis-pharma-as
Rocket Pharma,https://www.investing.com/equities/inotek-pharmaceuticals-corp
Summit Therapeutics PLC,https://www.investing.com/equities/summit-therapeutics-plc
Kalvista Pharma,https://www.investing.com/equities/carbylan-therapeutics-inc
Zevra Therapeutics,https://www.investing.com/equities/kempharm-inc
Collegium Pharmaceutical,https://www.investing.com/equities/collegium-pharmaceutical
Galapagos ADR,https://www.investing.com/equities/galapagos-n
Astria Therapeutics,https://www.investing.com/equities/catabasis-pharma
Immunitybio Inc,https://www.investing.com/equities/nantkwest
Novocure Ltd,https://www.investing.com/equities/novocure-ltd
Regenxbio Inc,https://www.investing.com/equities/regenxbio-inc
Kura Oncology Inc,https://www.investing.com/equities/kura-oncology-inc
Axsome Therapeutics Inc,https://www.investing.com/equities/axsome-therapeutics-inc
Voyager Therapeutics Inc,https://www.investing.com/equities/voyager-therapeutics-inc
Wave Life Sciences Ltd,https://www.investing.com/equities/wave-life-sciences-ltd
BeOne Medicines DRC,https://www.investing.com/equities/beigene
Corvus Pharmaceuticals,https://www.investing.com/equities/corvus-pharmaceuticals-inc
Editas Medicine,https://www.investing.com/equities/editas-medicine
HUTCHMED DRC,https://www.investing.com/equities/hutchison-china-meditech
Syndax Pharmaceuticals,https://www.investing.com/equities/syndax-pharmaceuticals
Spyre Therapeutics,https://www.investing.com/equities/aeglea-bio-therapeutics-inc
Merus,https://www.investing.com/equities/merus-bv
Intellia Therapeutics Inc,https://www.investing.com/equities/intellia-therapeutics-inc
Cartesian Therapeutics,https://www.investing.com/equities/selecta-biosciences-inc
Medpace Holdings,https://www.investing.com/equities/medpace-holdings-inc
Protagonist Therapeutics,https://www.investing.com/equities/protagonist-therapeutics-inc
AC Immune,https://www.investing.com/equities/ac-immune-ltd
Crispr Therapeutics,https://www.investing.com/equities/crispr-therapeutics-ag
AnaptysBio,https://www.investing.com/equities/anaptysbio-inc
Zymeworks,https://www.investing.com/equities/zymeworks-inc
UroGen Pharma,https://www.investing.com/equities/urogen-pharma-ltd
argenx ADR,https://www.investing.com/equities/argenx
Mersana Therapeutics,https://www.investing.com/equities/mersana-therapeutics-inc
Krystal Biotech,https://www.investing.com/equities/krystal-biotech
Zai Lab,https://www.investing.com/equities/zai-lab
Rhythm Pharma,https://www.investing.com/equities/rhythm-pharma
Apellis Pharma,https://www.investing.com/equities/apellis-pharma
Denali Therapeutics,https://www.investing.com/equities/denali-therapeutics
Solid Biosciences,https://www.investing.com/equities/solid-biosciences
Evolus,https://www.investing.com/equities/evolus-inc
Q32 Bio,https://www.investing.com/equities/homology-medicines-inc
Cogent Biosciences,https://www.investing.com/equities/unum-therapeutics-inc
Kiniksa Pharma,https://www.investing.com/equities/kiniksa-pharmaceuticals-ltd
Scholar Rock,https://www.investing.com/equities/scholar-rock-holding-corp
MeiraGTx,https://www.investing.com/equities/meiragtx-holdings
Xeris Pharmaceuticals,https://www.investing.com/equities/xeris-pharmaceuticals
Tectonic Therapeutic,https://www.investing.com/equities/avrobio
Autolus Therapeutics,https://www.investing.com/equities/autolus-therapeutics
Replimune,https://www.investing.com/equities/replimune-group-inc
Aquestive Therapeutics,https://www.investing.com/equities/aquestive-therapeutics
Crinetics Pharma,https://www.investing.com/equities/crinetics-pharmaceuticals-inc
Sutro Biopharma,https://www.investing.com/equities/sutro-biopharma
Arvinas,https://www.investing.com/equities/arvinas-holding
Guardant Health,https://www.investing.com/equities/guardant-health
Allogene Therapeutics,https://www.investing.com/equities/allogene-therapeutics-inc
Twist Bioscience,https://www.investing.com/equities/twist-bioscience-corporation
Moderna,https://www.investing.com/equities/moderna
Alector,https://www.investing.com/equities/alector-inc
Trevi Therapeutics,https://www.investing.com/equities/trevi-therapeutics-inc
Applied Therapeutics,https://www.investing.com/equities/applied-therapeutics-inc
Ideaya Biosciences,https://www.investing.com/equities/ideaya-biosciences-inc
Bicycle Therapeutics,https://www.investing.com/equities/bicycle-therapeutics-ltd
Akero Therapeutics,https://www.investing.com/equities/akero-therapeutics-inc
Stoke Therapeutics,https://www.investing.com/equities/stoke-therapeutics-inc
Personalis,https://www.investing.com/equities/personalis-inc
BridgeBio Pharma,https://www.investing.com/equities/bridgebio-pharma-inc
Adaptive Biotechnologies,https://www.investing.com/equities/adaptive-biotechnologies-corp
Mirum Pharmaceuticals,https://www.investing.com/equities/mirum-pharmaceuticals-inc
Castle Biosciences,https://www.investing.com/equities/castle-biosciences-inc
10X Genomics,https://www.investing.com/equities/10x-genomics-inc
BioNTech,https://www.investing.com/equities/biontech-se
Vir Biotech,https://www.investing.com/equities/vir-biotechnology-inc
Phathom Pharma,https://www.investing.com/equities/phathom-pharmaceuticals-inc
Arcutis,https://www.investing.com/equities/arcutis-biotherapeutics-inc
Beam,https://www.investing.com/equities/beam-therapeutics-inc
Revolution Med,https://www.investing.com/equities/revolution-medicines-inc
Enliven Therapeutics,https://www.investing.com/equities/imara-inc
Mind Medicine,https://www.investing.com/equities/mind-medicine-inc
Keros,https://www.investing.com/equities/keros-therapeutics-inc
Oric Pharma,https://www.investing.com/equities/oric-pharmaceuticals-inc
Immunovant,https://www.investing.com/equities/immunovant-inc
Pliant,https://www.investing.com/equities/pliant-therapeutics-inc
Legend Bio,https://www.investing.com/equities/legend-biotech-corp
Avidity Bio,https://www.investing.com/equities/avidity-biosciences-inc
Vaxcyte,https://www.investing.com/equities/vaxcyte-inc
Royalty Pharma,https://www.investing.com/equities/royalty-pharma-plc
Nkarta,https://www.investing.com/equities/nkarta-inc
Relay,https://www.investing.com/equities/relay-therapeutics-inc
Annexon,https://www.investing.com/equities/annexon-inc
Nurix,https://www.investing.com/equities/nurix-therapeutics-inc
CureVac NV,https://www.investing.com/equities/curevac-bv
Disc Medicine,https://www.investing.com/equities/fs-development-corp
Harmony Bio,https://www.investing.com/equities/harmony-biosciences-holdings
Kymera,https://www.investing.com/equities/kymera-therapeutics-inc
Tango Therapeutics,https://www.investing.com/equities/bctg-acquisition-corp
Dyne,https://www.investing.com/equities/dyne-therapeutics-inc
Compass Pathways,https://www.investing.com/equities/compass-pathways-plc
Taysha Gene,https://www.investing.com/equities/taysha-gene-therapies-inc
Silence Therapeutics,https://www.investing.com/equities/silence-therapeutics-nas
C4,https://www.investing.com/equities/c4-therapeutics-inc
Praxis Precision,https://www.investing.com/equities/praxis-precision-medicines-inc
Tarsus,https://www.investing.com/equities/tarsus-pharmaceuticals-inc
Foghorn,https://www.investing.com/equities/foghorn-therapeutics-inc
Atea,https://www.investing.com/equities/atea-pharmaceuticals-inc
Maravai Lifesciences,https://www.investing.com/equities/maravai-lifesciences-holdings-inc
Olema,https://www.investing.com/equities/olema-pharmaceuticals-inc
ARS Pharmaceuticals,https://www.investing.com/equities/silverback-therapeutics-inc
4D Molecular,https://www.investing.com/equities/4d-molecular-therapeutics
Abcellera Biologics,https://www.investing.com/equities/abcellera-biologics
Cullinan Oncology LLC,https://www.investing.com/equities/cullinan-oncology-llc
Sana Biotechnology,https://www.investing.com/equities/sana-biotechnology
Immunocore Holdings,https://www.investing.com/equities/immunocore-holdings-drc
Terns Pharmaceuticals,https://www.investing.com/equities/terns-pharmaceuticals
NewAmsterdam Pharma,https://www.investing.com/equities/frazier-lifesciences-acquisition
Roivant Sciences,https://www.investing.com/equities/montes-archimedes-acquisition
Humacyte,https://www.investing.com/equities/alpha-healthcare-acquisition
Design Therapeutics,https://www.investing.com/equities/design-therapeutics
Edgewise Therapeutics,https://www.investing.com/equities/edgewise-therapeutics
Onkure Therapeutics,https://www.investing.com/equities/reneo-pharmaceuticals
Biomea Fusion,https://www.investing.com/equities/biomea-fusion
Recursion Pharmaceuticals,https://www.investing.com/equities/recursion-pharmaceuticals
Vera Therapeutics,https://www.investing.com/equities/vera-therapeutics
Centessa Pharmaceuticals,https://www.investing.com/equities/centessa-pharmaceuticals-adr
Day One Biopharmaceuticals,https://www.investing.com/equities/dot-therapeutics2
Janux Therapeutics,https://www.investing.com/equities/janux-therapeutics
Lyell Immunopharma,https://www.investing.com/equities/lyell-immunopharma
Alpha Teknova,https://www.investing.com/equities/alpha-teknova
LENZ Therapeutics,https://www.investing.com/equities/graphite-bio
Monte Rosa Therapeutics,https://www.investing.com/equities/monte-rosa-therapeutics
Erasca,https://www.investing.com/equities/erasca
Tscan Therapeutics,https://www.investing.com/equities/tscan-therapeutics
Absci,https://www.investing.com/equities/absci
Nuvalent,https://www.investing.com/equities/nuvalent
MaxCyte,https://www.investing.com/equities/maxcyte-inc
Climb Bio,https://www.investing.com/equities/eliem-therapeutics
Tyra Biosciences,https://www.investing.com/equities/tyra-biosciences
OmniAb,https://www.investing.com/equities/avista-public-acquisition-ii
Pyxis Oncology,https://www.investing.com/equities/pyxis-oncology
Aura Biosciences,https://www.investing.com/equities/aura-biosciences
Entrada Therapeutics,https://www.investing.com/equities/entrada-therapeutics
Amylyx Pharmaceuticals,https://www.investing.com/equities/amylyx-pharmaceuticals
Tevogen Bio Holdings,https://www.investing.com/equities/semper-paratus-acquisition
Arcellx,https://www.investing.com/equities/arcellx
PepGen,https://www.investing.com/equities/pepgen
Alvotech,https://www.investing.com/equities/alvotech
Prime Medicine,https://www.investing.com/equities/prime-medicine
Acrivon Therapeutics,https://www.investing.com/equities/acrivon-therapeutics
Mineralys Therapeutics,https://www.investing.com/equities/mineralys-therapeutics
Structure Therapeutics ADR,https://www.investing.com/equities/structure-therapeutics-adr
Indivior,https://www.investing.com/equities/indivior-naq
Fortrea Holdings,https://www.investing.com/equities/fortrea-holdings
Apogee Therapeutics,https://www.investing.com/equities/apogee-therapeutics
Neumora Therapeutics,https://www.investing.com/equities/neumora-therapeutics
Lexeo Therapeutics,https://www.investing.com/equities/lexeo-therapeutics
CG Oncology,https://www.investing.com/equities/cg-oncology
Arrivent Biopharma,https://www.investing.com/equities/arrivent-biopharma
Kyverna Therapeutics,https://www.investing.com/equities/kyverna-therapeutics
Inhibrx Biosciences,https://www.investing.com/equities/inhibrx-biosciences
Rapport Therapeutics,https://www.investing.com/equities/rapport-therapeutics
Tempus AI,https://www.investing.com/equities/tempus-ai
Grail,https://www.investing.com/equities/grail
Alumis,https://www.investing.com/equities/alumis
Artiva Biotherapeutics,https://www.investing.com/equities/artiva-biotherapeutics-inc
